data_godzina_Europe_Warsaw;poziom;id_elementu;nazwa;zmieniony_parametr;wartosc_przed;wartosc_po;typ_autora;mozliwy_wplyw
2026-06-20 10:42;Zestaw;120250261422330581;Cala polska;Targetowanie;wiek 35-65+ (min 25), bez plci, Advantage+ audience ON;wiek 35-60, plec MEZCZYZNI, Advantage+ audience OFF, Advantage+ detailed targeting ON;Czlowiek (Power Editor);ISTOTNE: zawezenie grupy + wylaczenie Advantage+ Audience
2026-06-20 10:42;Reklama;x3;OZE kreacja / 22 zl za leada / Kredyty grafika;Dodanie reklam;-;3 nowe kreacje;Czlowiek (Power Editor);-
2026-06-22 12:29;Reklama;120250264318640581 i 5 innych;Grafika 966 leadow itd.;Podmiana kreacji;stare creative_id;nowe creative_id;Czlowiek (Power Editor);Reset historii posta na 6 reklamach
2026-06-23 13:46;Reklama;x3;Grafika 966 leadow 2/3/4;Dodanie reklam;-;3 warianty tej samej kreacji;Czlowiek (Power Editor);Duplikaty konceptu
2026-06-24 12:30;KAMPANIA;120250261422190581;LeadGen 27.05;STATUS;Active;Inactive;Czlowiek (Power Editor);*** WYLACZENIE KAMPANII ***
2026-06-24 16:16;Zestaw;120250261422330581;Cala polska;Status;Active;Inactive;Czlowiek (Power Editor);Domkniecie wylaczenia
2026-06-25..2026-07-27;-;-;-;PRZERWA W EMISJI;-;-;-;"33 dni bez emisji tej kampanii; na koncie dzialaly inne kampanie leadowe"
2026-07-28 17:42;KAMPANIA;120250261422190581;LeadGen 27.05;STATUS;Inactive;Active;Czlowiek (Power Editor);*** PONOWNE URUCHOMIENIE ***
2026-07-28 17:48;Zestaw;120250261422330581;Cala polska;Budzet dzienny;140,00 zl;200,00 zl;Czlowiek (Power Editor);ISTOTNE: +43% budzetu w dniu restartu
2026-07-28 17:48;Zestaw;120250261422330581;Cala polska;Targetowanie;wykluczenie '26.05 WYKLUCZENIE', Advantage+ audience OFF;wykluczenie '24.07 Wyklucza form' (29 zrodel lead), min wiek 18, Advantage+ audience ON;Czlowiek (Power Editor);ISTOTNE: podmiana wykluczenia + ponowne wlaczenie Advantage+ Audience
2026-07-28 17:48;Reklama;9 reklam;wszystkie aktywne;PODMIANA KREACJI;stare creative_id;nowe creative_id (sufiks 2026-07-28);Czlowiek (Power Editor);*** KLUCZOWE: wszystkie kreacje wymienione w dniu restartu - utrata historii posta i social proof ***
2026-07-28 17:49;Zestaw;120250261422330581;Cala polska;Status;Inactive;Active;Czlowiek (Power Editor);Wznowienie emisji
2026-07-28 17:49..17:50;Reklama;13 reklam;stare kreacje;Archiwizacja;Active/Paused;ARCHIVED;Czlowiek (Power Editor);Zostawiono 4 reklamy
2026-07-28 18:10;Reklama;120253607230510581;Dodatkowe Wideo;Dodanie reklamy;-;nowa reklama wideo;Czlowiek (Power Editor);-
2026-07-30 18:02;Konto;1569482637544365;PawelKwiatek;Status konta;Active;Payment Needed;Meta (system);Przerwa platnicza ~6 min
2026-07-30 18:08;Konto;1569482637544365;PawelKwiatek;Status konta;Payment Needed;Active;Meta (system);Oplacone 1000,00 zl
2026-08-02 20:46;Konto;1569482637544365;PawelKwiatek;Status konta;Active;Payment Needed;Meta (system);Przerwa platnicza ~3 min
2026-08-02 20:49;Konto;1569482637544365;PawelKwiatek;Status konta;Payment Needed;Active;Meta (system);Oplacone 1000,70 zl
2026-08-03 11:57;Zestaw;120250261422330581;Cala polska;Zdarzenie optymalizacyjne;Conversion leads (QUALITY_LEAD);Leads (LEAD_GENERATION);Czlowiek (Pawel Kwiatek) przez 'ads MCP server';"*** ZMIANA DZISIAJ - resetuje faze uczenia; NIE wykonana w ramach tego audytu ***"
2026-08-03 11:58;Zestaw;120250261422330581;Cala polska;Targetowanie;wiek 35-60, plec MEZCZYZNI, jezyk polski;wiek 18-65, wszystkie plcie, bez jezyka (Advantage+ audience ON);Czlowiek (Pawel Kwiatek) przez 'ads MCP server';*** ZMIANA DZISIAJ - drugi reset fazy uczenia tego samego dnia ***
2026-08-03 11:59;Zestaw;120250261422330581;Cala polska;Status;Pending Process;Active;Czlowiek przez 'ads MCP server';Zestaw ponownie aktywny
